title,overview,release_year,genres,director,cast,source,vote_average,runtime
The Breaker Upperers,"For the right price, BFFs Jen and Mel will ruthlessly end any romance. But when one of them grows a conscience, their friendship begins to unravel.",2018,"['Comedies', 'Independent Movies', 'International Movies']","Jackie van Beek, Madeleine Sami","Madeleine Sami, Jackie van Beek, James Rolleston, Celia Pacquola, Ana Scotney, Rima Te Wiata, Carl Bland, Brett O'Gorman, Cohen Holloway, Jemaine Clement",netflix,,
Ugly Aur Pagli,"Everyday guy Kabir is thrown for a loop when he meets Kuhu, a freewheeling party girl. Now, he's a changed man, dancing, running half-naked through the streets and donning ladies' shoes at her whim.",2008,"['Comedies', 'International Movies', 'Romantic Movies']",Sachin Kamlakar Khot,"Mallika Sherawat, Ranvir Shorey, Tinnu Anand, Sushmita Mukherjee, Manish Anand, Vihang Nayak, Bharati Achrekar, Zeenat Aman",netflix,,
Yucatán,Competing con artists attempt to creatively and ruthlessly swindle a fatherly lottery winner while on a lively cruise from Spain to Mexico.,2018,"['Comedies', 'International Movies']",Daniel Monzón,"Luis Tosar, Rodrigo de la Serna, Joan Pera, Stephanie Cayo, Gloria Muñoz, Adrián Núñez, Alicia Fernández, Jorge Asín, Agustín Jiménez, Lupe Cartié Roda, Txell Aixendri, Xavi Lite, Alejandro Vera, João Lagarto",netflix,,
"Ken Jeong: You Complete Me, Ho","In his first-ever stand-up special, Ken Jeong pays tribute to his wife and shares stories about Hollywood and how ""The Hangover"" saved his life.",2019,['Stand-Up Comedy'],Jon M. Chu,Ken Jeong,netflix,,
Period. End of Sentence.,"In rural India, where the stigma of menstruation persists, women make low-cost sanitary pads on a new machine and stride toward financial independence.",2018,['Documentaries'],Rayka Zehtabchi,,netflix,,
High Flying Bird,"When an NBA lockout sidelines his big rookie client, an agent hatches a bold plan to save their careers – and disrupt the league's power structure.",2019,"['Dramas', 'Sports Movies']",Steven Soderbergh,"André Holland, Zazie Beetz, Bill Duke, Kyle MacLachlan, Melvin Gregg, Sonja Sohn, Zachary Quinto",netflix,,
Kevin Hart's Guide to Black History,Kevin Hart highlights the fascinating contributions of black history’s unsung heroes in this entertaining – and educational – comedy special.,2019,"['Children & Family Movies', 'Comedies']",Tom Stern,"Kevin Hart, Saniyya Sidney, Lil Rel Howery, Eoghan Thomas Murphy, Tiffany Haddish, Al Shearer, Lonnie Chavis, Alphonso Mcauley, Nika Williams, Barry Brewer, Greg Germann, John Ennis, Jay Johnston",netflix,,
ReMastered: The Two Killings of Sam Cooke,"While Sam Cooke rose to stardom as a soul singer, his outspoken views on civil rights drew attention that may have contributed to his death at age 33.",2019,"['Documentaries', 'Music & Musicals']",Kelly Duane de la Vega,Sam Cooke,netflix,,
The Tree of Blood,"As a young couple write the story of their families' shared history, both reveal their relatives' dark secrets and one must make a painful confession.",2018,"['Dramas', 'Independent Movies', 'International Movies']",Julio Medem,"Úrsula Corberó, Álvaro Cervantes, Najwa Nimri, Patricia López Arnaiz, Daniel Grao, Joaquín Furriel, Maria Molins, Emilio Gutiérrez Caba, Luisa Gavasa, José María Pou, Ángela Molina",netflix,,
"Ray Romano: Right Here, Around the Corner","Ray Romano cut his stand-up teeth at the Comedy Cellar in New York. Now, in his first comedy special in 23 years, he returns to where it all began.",2019,['Stand-Up Comedy'],Michael Showalter,Ray Romano,netflix,,
Await Further Instructions,"A family’s tense reunion turns terrifying when they get trapped in their home by an unknown force, and sinister commands begin appearing on their TV.",2018,"['Horror Movies', 'Sci-Fi & Fantasy']",Johnny Kevorkian,"Sam Gittins, Grant Masters, Neerja Naik, Abigail Cruttenden, Kris Saddler, Holly Weston, David Bradley",netflix,,
Manusangada,"When caste discrimination prevents a villager from giving his deceased father a rightful burial, he takes his fight for equality to court.",2017,"['Dramas', 'Independent Movies', 'International Movies']",Amshan Kumar,"Rajeev Anand, Manimegalai, A.S. Sasi Kumar, Vidhur Rajarajan, Sheela Rajkumar, Sethu Darwin, Anand Sampath, Karuna Prasad",netflix,,
14 Minutes from Earth,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,2016,['Documentaries'],"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",,netflix,,
Dear Ex,"A teen navigates a bitter feud between his willful mom and a free-spirited man, who's the lover and insurance beneficiary of his recently deceased dad.",2018,"['Comedies', 'Dramas', 'International Movies']","Hsu Chih-yen, Mag Hsu","Roy Chiu, Hsieh Ying-xuan, Joseph Huang, Spark Chen",netflix,,
Free Rein: Valentine's Day,"Love is in the air as Zoe and friends go on a quest to find a fabled Maid's Stone. But when rivalry blinds them to danger, it's Raven to the rescue!",2019,"['Children & Family Movies', 'Dramas']",,"Jaylen Barron, Joe Ashman, Manpreet Bambra, Celine Buckens, Freddy Carter, Bruce Herbelin-Earle, Kerry Ingram, Charlotte Jordan, Geoffrey McGivern, Martin Bobb-Semple, Sadie Simm, Carla Woodcock",netflix,,
Lego DC Comics: Batman Be-Leaguered,"When Superman and the other Justice League superheroes start disappearing, it's up to Batman to unravel the caper and save the day.",2014,['Movies'],Rick Morales,"Dee Bradley Baker, Troy Baker, John DiMaggio, Grey DeLisle, Tom Kenny, Nolan North, Khary Payton, James Arnold Taylor",netflix,,
LEGO Marvel Super Heroes: Black Panther,"When Thanos joins forces with villains Killmonger and Klaue to destroy Earth, Black Panther rushes to stop them from stealing Wakanda's vibranium.",2018,['Children & Family Movies'],Michael D. Black,"James Mathis III, Keston John, Yvette Nicole Brown, Daisy Lightfoot, Isaac C. Singleton Jr., Trevor Devall, Liam O'Brien, Mick Wingert, Fred Tatasciore, Laura Bailey",netflix,,
LEGO Marvel Super Heroes: Guardians of the Galaxy,"The Guardians are on a mission to deliver the Build Stone to the Avengers before the Ravagers, Thanos and his underlings steal it from them.",2017,['Children & Family Movies'],,,netflix,,
True: Happy Hearts Day,"True and Bartleby try to cheer up the Rainbow Kingdom’s loneliest citizen, but his gloomy mood is contagious! Can a trio of wishes turn things around?",2019,['Children & Family Movies'],,"Michela Luci, Jamie Watson, Eric Peterson, Cory Doran, Nicolas Aqui",netflix,,
Velvet Buzzsaw,"A feared critic, an icy gallery owner and an ambitious assistant snap up a recently deceased artist's stash of paintings – with dire consequences.",2019,"['Dramas', 'Thrillers']",Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Toni Collette, John Malkovich, Natalia Dyer, Daveed Diggs, Tom Sturridge",netflix,,
Hantu Kak Limah,"When Kak Limah turns up dead shortly after her marriage to a much younger man, her pesky ghost haunts the villagers, who can't seem to get rid of her.",2018,"['Comedies', 'Horror Movies', 'International Movies']",Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak",netflix,,
Love Off the Cuff,Cherie and Jimmy's relationship is in a rut – until Cherie's estranged father shows up and a woman from Jimmy's past shows up with a hidden agenda.,2017,"['Comedies', 'Dramas', 'International Movies']",Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng",netflix,,
Maharaja: The Story of Ranjit Singh,"The tale of legendary warrior king Ranjit Singh, and his rise to establishing Punjab’s Sikh empire, comes to life in this animated feature.",2010,"['Dramas', 'International Movies']",Amarjit Virdi,"Gurpreet Guggi, Rocky Bhardwaj, Brijesh Ahuja, Gick Grewal, Inderjit Grewal, Lekhraj Thakur",netflix,,
Virsa,A man is disheartened when he visits his well-to-do son and grandkids in Australia and sees they have detached from their traditional Indian morals.,2010,"['Dramas', 'International Movies', 'Music & Musicals']",Pankaj Batra,"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz",netflix,,
Bhasmasur,"In this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey.",2017,"['Dramas', 'Independent Movies', 'International Movies']",Nishil Sheth,"Imran Rasheed, Mittal Chouhan, Trimala Adhikari, Bhushan Vikas, Ravi Goswami, Raghav Dutt, Kumkum Chouhan, Rohan Mobarsa",netflix,,
"Gabriel ""Fluffy"" Iglesias: One Show Fits All","Gabriel ""Fluffy"" Iglesias discusses his teenage son and encounters with Snoop Dogg, Chris Rock and Vicente Fernández in this stand-up special for 2019.",2019,['Stand-Up Comedy'],Manny Rodriguez,Gabriel Iglesias,netflix,,
High Society,"A deputy curator of a chaebol-funded art gallery and her husband, a politically ambitious economics professor, will do anything to join the über-elite.",2018,"['Dramas', 'International Movies']",Byun Hyuk,"Park Hae-il, Su Ae, Yoon Je-moon, Ra Mi-ran, Lee Jin-wook, Kim Gyu-sun, Han Ju-yeong, Kim Hae-gon, Nam Moon-cheol, Jang So-yeon",netflix,,
Up Among The Stars,"A grieving filmmaker struggling to keep custody of his young son after his wife's death uses magical, imaginary stories to maintain their bond.",2018,"['Dramas', 'International Movies', 'Sci-Fi & Fantasy']",Zoe Berriatúa,"Luis Callejo, Jorge Andreu, Macarena Gómez, Magüi Mira, Álvaro Roig, María Morales, José Luis García Pérez, Kiti Mánver, Ingrid García Jonsson, Liz Lobato",netflix,,
Alt-Right: Age of Rage,This documentary follows a white power leader and an Antifa activist leading up to the Charlottesville riots in the first year of Trump's presidency.,2018,['Documentaries'],Adam Bhala Lough,"Daryle Lamont Jenkins, Richard Spencer",netflix,,
Habibie & Ainun,"This companion to 2016's ""Rudy Habibie"" traces the relationship between Indonesia’s third president and his wife behind the scenes of their public lives.",2012,"['Dramas', 'International Movies', 'Romantic Movies']",Faozan Rizal,"Reza Rahadian, Bunga Citra Lestari, Tio Pakusadewo, Ratna Riantiarno, Mike Lucock, Vitta Mariana Barrazza, Christoffer Nelwan",netflix,,
Nathicharami,"Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality.",2018,"['Dramas', 'Independent Movies', 'International Movies']",Mansore,"Sruthi Hariharan, Sanchari Vijay, Sharanya, Balaji Manohar, Greeshma Sridhar, Harshil Koushik, Shaanthala, Gopalkrishna Deshpande",netflix,,
Rudy Habibie,"A biopic that explores the hardships and triumphs of the early life of B. J. Habibie, a transformative president of Indonesia.",2016,"['Dramas', 'International Movies']",Hanung Bramantyo,"Reza Rahadian, Chelsea Islan, Dian Nitami, Indah Permatasari, Ernest Prakasa, Boris Bokir, Rey Bong, Cornelio Sunny, Pandji Pragiwaksono, Bastian Bintang Simbolon",netflix,,
Surga Yang Tak Dirindukan,"After saving an unwed expectant mother who's injured in a car accident, a happily married man takes her as his second wife – without telling his first.",2015,"['Dramas', 'Faith & Spirituality', 'International Movies']",Kuntz Agus,"Fedi Nuril, Laudya Cynthia Bella, Raline Shah, Sandrinna Michelle, Kemal Pahlevi, Tanta Ginting, Zaskia Adya Mecca, Landung Simatupang, Ray Sitoresmi, Vitta Mariana Barrazza",netflix,,
Surga Yang Tak Dirindukan 2,"In this sequel to the award-winning 2015 film, Pras, Arini and Meirose face new challenges that could change the dynamic of their unique love triangle.",2017,"['Dramas', 'Faith & Spirituality', 'International Movies']","Hanung Bramantyo, Meisa Felaroze","Fedi Nuril, Raline Shah, Laudya Cynthia Bella, Reza Rahadian, Nora Danish",netflix,,
Goyo: The Boy General,"Brash ladies' man Gregorio ""Goyo"" del Pilar rises to become one of the Philippines' youngest generals in this historical epic sequel to ""Heneral Luna.""",2018,"['Dramas', 'International Movies']",Jerrold Tarog,"Paulo Avelino, Carlo Aquino, Arron Villaflor, Mon Confiado, Gwen Zamora, Jeffrey Quizon, Alvin Anson, Empress Schuck, Perla Bautista, Benjamin Alves",netflix,,
Animas,A teen's eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.,2018,"['Horror Movies', 'International Movies']","Laura Alvea, José Ortuño","Clare Durant, Iván Pellicer, Luis Bermejo, Liz Lobato, Chacha Huang, Ángela Molina",netflix,,
Mi Obra Maestra,"A sly art dealer tries to revive the career of his longtime pal, a surly painter, with a risky plan that tests their morals and friendship.",2018,"['Comedies', 'International Movies']",Gastón Duprat,"Guillermo Francella, Luis Brandoni, Raúl Arévalo, Andrea Frigerio, María Soldi, Mónica Duprat, Mahmoud Azim, Santiago Korovsky, Julio Marticorena, Alejandro Paker",netflix,,
Polar,"An assassin on the verge of retirement must put the good life on hold when his greedy boss sends a squad of young, ruthless killers to take him out.",2019,"['Action & Adventure', 'International Movies']",,,netflix,,
Just Love,"Inspired by his love affair with a conservative lawyer, the lead singer of a struggling garage band pens a hit song that propels him to fame.",2018,"['Dramas', 'International Movies', 'Music & Musicals']","Andy Caballero, Diego Corsini","Franco Masini, Yamila Saud, Victorio D'Alessandro, Andrea Frigerio, Gerardo Romano, Bautista Lena, Josefina Ramírez, Noel Schajris, Diana Hernández, Daniela Aita",netflix,,
Close,"When attackers target the heiress she's protecting, battle-hardened bodyguard Sam scrambles to save her client – and teach her how to fight back.",2019,"['Action & Adventure', 'International Movies']",,"Noomi Rapace, Sophie Nélisse, Indira Varma, George Georgiou, Christopher Sciueref, Eoin Macken",netflix,,
FYRE: The Greatest Party That Never Happened,"The Fyre Festival was billed as a luxury music experience on a posh private island, but it failed spectacularly in the hands of a cocky entrepreneur.",2019,['Documentaries'],Chris Smith,,netflix,,
IO,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",2019,"['Dramas', 'Sci-Fi & Fantasy']",Jonathan Helpert,"Margaret Qualley, Anthony Mackie, Danny Huston",netflix,,
Old Lord Savanna,This documentary captures the environmental and societal impact of Brazil's Cerrado savanna suffering from severe deforestation.,2018,"['Documentaries', 'International Movies']",André D'Elia,Leonardo Ribeiro,netflix,,
Patria,"Paco Ignacio Taibo II brings his book trilogy to life, highlighting Mexico's history in 1854-1867, a period he considers foundational to the country.",2019,"['Documentaries', 'International Movies']",Matías Gueilburt,Paco Ignacio Taibo II,netflix,,
Soni,"While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.",2018,"['Dramas', 'Independent Movies', 'International Movies']",Ivan Ayr,"Geetika Vidya Ohlyan, Saloni Batra, Mohinder Gujral, Mohit Chauhan, Vikas Shukla, Gauri Chakraborty, Simrat Kaur, Dimple Kaur",netflix,,
Abducted in Plain Sight,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.",2017,['Documentaries'],Skye Borgman,,netflix,,
